YEAR,INCOME06,INCOM16,REG16,RACE,SEX,SPDEG,MADEG,PADEG,DEGREE,CHILDS,SPWRKSLF,SPHRS1,MARITAL,WRKSLF,HRS1,WRKSTAT,ID_,BALLOT,FEMALE
2014,22,3,2,1,male (1),3,3,7,3,1,2,45,Married (1),2,40,1,52,3,FALSE
2014,21,1,2,3,male (1),4,3,0,2,0,2,40,Married (1),2,60,1,53,3,FALSE
2014,20,3,2,1,female (2),7,0,0,1,3,0,-1,Widowed (2),2,NA,7,54,2,TRUE
2014,25,4,0,3,male (1),4,1,1,4,1,0,-1,Married (1),1,40,1,55,1,FALSE
2014,6,2,4,2,female (2),7,4,7,3,0,0,-1,Never married (5),2,16,2,56,1,TRUE
2014,9,3,2,1,female (2),7,1,3,1,0,0,-1,Widowed (2),2,NA,5,57,3,TRUE
2014,21,3,0,1,female (2),7,1,2,4,0,0,-1,Never married (5),2,40,1,58,3,TRUE
2014,22,3,2,1,female (2),7,1,7,3,0,0,-1,Never married (5),2,30,1,59,2,TRUE
2014,25,3,2,3,female (2),3,0,0,3,1,2,50,Married (1),2,NA,7,60,3,TRUE
2014,13,3,1,1,male (1),7,3,4,4,0,0,-1,Never married (5),2,14,2,61,3,FALSE
2014,14,4,0,3,female (2),7,3,4,3,0,0,-1,Never married (5),2,36,1,62,2,TRUE
2014,25,2,0,3,female (2),4,3,3,4,0,2,-1,Married (1),2,NA,8,63,3,TRUE
2014,22,4,0,3,female (2),7,1,3,4,0,0,-1,Never married (5),2,40,1,64,3,TRUE
2014,25,4,0,3,male (1),4,4,4,4,0,2,55,Married (1),2,55,1,65,1,FALSE
2014,25,4,2,1,male (1),4,0,0,4,2,2,40,Married (1),1,35,1,66,3,FALSE
2014,25,3,1,1,female (2),4,3,1,3,0,1,40,Married (1),1,50,1,67,3,TRUE
2014,25,3,2,1,male (1),7,1,3,4,3,0,-1,Divorced (3),2,70,1,68,2,FALSE
2014,21,5,2,1,male (1),7,4,3,3,0,0,-1,Never married (5),2,50,1,69,3,FALSE
2014,25,3,2,1,male (1),7,1,1,1,0,0,-1,Never married (5),2,40,1,70,3,FALSE
2014,15,3,2,1,male (1),-1,0,0,2,2,0,-1,Divorced (3),2,NA,8,71,2,FALSE
2014,25,3,2,1,female (2),4,0,1,4,2,2,40,Married (1),2,NA,5,72,3,TRUE
2014,22,3,2,1,female (2),3,2,2,3,2,1,70,Married (1),2,45,1,73,2,TRUE
2014,26,4,2,1,male (1),4,1,4,3,0,2,40,Married (1),2,41,1,74,2,FALSE
2014,25,2,2,1,female (2),1,4,2,4,1,2,40,Married (1),2,60,1,75,3,TRUE
2014,25,3,0,3,female (2),3,4,3,4,3,2,40,Married (1),2,NA,7,76,3,TRUE
2014,25,4,4,1,male (1),3,4,4,3,2,2,-1,Married (1),2,60,1,77,3,FALSE
2014,25,4,2,1,female (2),7,1,3,3,1,0,-1,Divorced (3),2,65,1,78,3,TRUE
2014,16,1,2,3,male (1),2,0,1,1,3,2,40,Married (1),2,NA,7,79,3,FALSE
2014,14,8,2,3,female (2),7,0,0,0,4,0,-1,Never married (5),2,NA,8,80,1,TRUE
2014,9,2,2,3,male (1),1,1,7,0,3,2,30,Married (1),2,45,1,81,2,FALSE
2014,1,2,2,3,female (2),7,0,0,0,1,0,-1,Never married (5),2,NA,4,82,3,TRUE
2014,3,2,2,2,female (2),7,8,7,1,1,0,-1,Separated (4),2,NA,4,83,3,TRUE
2014,1,3,2,3,male (1),1,1,3,0,0,1,-1,Married (1),2,NA,7,84,1,FALSE
2014,11,2,2,2,female (2),-1,0,7,0,2,0,-1,Never married (5),2,NA,7,85,3,TRUE
2014,9,8,2,3,female (2),7,7,8,0,3,0,-1,Never married (5),2,NA,7,86,2,TRUE
2014,3,5,2,2,male (1),7,1,1,0,0,0,-1,Never married (5),2,NA,4,87,2,FALSE
2014,22,3,0,2,male (1),2,0,8,3,2,2,20,Married (1),2,37,1,88,3,FALSE
2014,19,3,2,1,male (1),-1,3,7,1,2,0,-1,Never married (5),2,65,1,89,1,FALSE
2014,19,3,2,2,female (2),7,1,0,2,0,0,-1,Never married (5),2,35,1,90,3,TRUE
2014,24,3,2,1,male (1),7,1,7,2,1,0,-1,Never married (5),2,45,1,91,2,FALSE
2014,13,2,0,2,female (2),1,0,1,1,5,1,-1,Married (1),2,NA,5,92,1,TRUE
2014,24,2,2,2,female (2),3,4,4,3,0,2,-1,Married (1),2,NA,8,93,3,TRUE
2014,16,3,2,1,female (2),-1,7,4,0,2,0,-1,Never married (5),2,15,2,94,2,TRUE
2014,13,4,5,3,female (2),7,2,1,1,3,0,-1,Divorced (3),2,NA,4,95,2,TRUE
2014,18,3,2,2,female (2),7,1,0,2,0,0,-1,Never married (5),1,NA,3,96,1,TRUE
2014,10,2,0,3,female (2),7,3,0,1,1,0,-1,Separated (4),2,NA,3,97,1,TRUE
2014,17,1,0,2,female (2),-1,1,2,1,2,0,-1,Never married (5),2,40,1,98,3,TRUE
2014,26,3,2,2,female (2),9,4,7,4,1,9,99,NA,2,60,1,99,3,TRUE
2014,98,1,2,2,male (1),-1,0,1,0,8,0,-1,Widowed (2),2,NA,4,100,2,FALSE
2014,22,4,2,2,female (2),7,1,1,1,3,0,-1,Never married (5),2,56,1,101,2,TRUE
2014,21,3,3,1,male (1),7,4,7,4,0,0,-1,Never married (5),2,55,1,102,2,FALSE
2014,15,1,0,2,female (2),7,1,8,1,3,0,-1,Widowed (2),2,36,1,103,3,TRUE
2014,18,3,2,1,female (2),1,1,1,3,0,2,40,Married (1),2,38,1,104,2,TRUE
2014,26,3,0,1,male (1),1,0,1,4,0,2,45,Married (1),1,72,1,105,1,FALSE
2014,22,4,2,1,male (1),3,2,7,3,1,2,40,Married (1),1,50,1,106,2,FALSE
2014,22,2,2,1,male (1),7,1,3,3,2,0,-1,Widowed (2),2,NA,5,107,2,FALSE
2014,20,3,2,1,female (2),7,0,8,3,3,0,-1,Divorced (3),2,NA,5,108,2,TRUE
2014,25,3,2,1,male (1),4,3,4,4,2,2,40,Married (1),2,40,1,109,2,FALSE
2014,26,3,2,1,male (1),3,0,0,3,3,2,16,Married (1),2,40,1,110,2,FALSE
2014,23,3,2,2,male (1),7,1,1,3,0,0,-1,Never married (5),2,50,1,111,1,FALSE
2014,13,3,0,3,male (1),7,0,7,1,0,0,-1,Never married (5),2,40,1,112,2,FALSE
2014,22,1,2,3,female (2),4,0,7,1,0,1,60,Married (1),1,50,1,113,1,TRUE
2014,17,3,2,3,male (1),7,0,7,1,1,0,-1,Never married (5),1,50,1,114,3,FALSE
2014,12,2,0,1,female (2),1,0,0,3,1,2,-1,Married (1),2,NA,7,115,1,TRUE
2014,19,3,5,1,female (2),7,3,3,4,0,0,-1,Never married (5),2,50,1,116,2,TRUE
2014,24,2,2,3,female (2),3,1,7,3,3,2,70,Married (1),2,NA,7,117,2,TRUE
2014,21,2,2,3,male (1),-1,7,1,3,0,0,-1,Never married (5),2,40,1,118,1,FALSE
2014,24,2,2,3,male (1),4,2,7,4,0,2,40,Married (1),2,40,1,119,1,FALSE
2014,15,3,5,1,female (2),7,1,1,3,0,0,-1,Never married (5),2,40,1,120,1,TRUE
2014,8,4,2,1,male (1),7,1,3,3,0,0,-1,Never married (5),2,NA,7,121,3,FALSE
2014,18,2,2,1,female (2),7,1,1,4,0,0,-1,Never married (5),2,NA,5,122,3,TRUE
2014,15,3,9,1,female (2),7,3,3,3,1,0,-1,Never married (5),2,30,2,123,3,TRUE
2014,19,3,0,1,female (2),7,0,1,4,1,0,-1,Widowed (2),2,NA,5,124,2,TRUE
2014,20,3,2,1,male (1),7,1,1,1,0,0,-1,Never married (5),2,40,1,125,3,FALSE
2014,15,2,2,1,female (2),7,8,1,4,0,0,-1,Divorced (3),2,NA,5,126,1,TRUE
2014,23,4,2,1,female (2),7,1,1,1,2,0,-1,Widowed (2),2,NA,5,127,3,TRUE
2014,25,1,0,3,male (1),4,3,4,4,0,2,-1,Married (1),2,60,1,128,3,FALSE
2014,15,2,2,2,female (2),7,2,1,2,0,0,-1,Never married (5),2,40,1,129,1,TRUE
2014,24,1,0,2,male (1),7,0,7,4,3,0,-1,Widowed (2),2,NA,5,130,1,FALSE
2014,20,3,2,2,male (1),7,1,8,1,1,0,-1,Separated (4),2,37,1,131,3,FALSE
2014,25,2,2,2,male (1),2,0,7,3,4,2,40,Married (1),2,40,1,132,2,FALSE
2014,22,3,2,2,female (2),7,1,8,1,0,0,-1,Divorced (3),2,NA,5,133,1,TRUE
2014,21,2,2,2,female (2),7,2,7,4,3,0,-1,Divorced (3),2,NA,3,134,3,TRUE
2014,98,4,2,1,female (2),7,0,7,3,4,0,-1,Never married (5),2,NA,8,135,2,TRUE
2014,20,4,2,1,female (2),7,3,2,4,0,0,-1,Never married (5),2,57,1,136,1,TRUE
2014,25,5,2,1,male (1),3,1,0,4,2,2,40,Married (1),1,30,1,137,1,FALSE
2014,10,2,2,1,male (1),7,3,4,3,2,0,-1,Never married (5),2,NA,5,138,1,FALSE
2014,24,3,2,1,male (1),4,0,1,4,1,2,40,Married (1),2,40,1,139,1,FALSE
2014,23,4,0,3,female (2),3,4,4,3,2,2,40,Married (1),2,40,1,140,1,TRUE
2014,16,3,2,1,female (2),7,0,0,1,0,0,-1,Never married (5),2,37,1,141,2,TRUE
2014,22,2,2,1,male (1),4,2,1,4,2,2,40,Married (1),2,60,1,142,3,FALSE
2014,23,4,2,1,male (1),7,1,7,1,0,0,-1,Never married (5),2,40,1,143,2,FALSE
2014,20,3,2,1,male (1),1,1,3,1,6,2,20,Married (1),1,40,1,144,3,FALSE
2014,98,8,0,1,female (2),7,0,0,1,4,0,-1,Widowed (2),2,NA,5,145,3,TRUE
2014,24,3,2,1,female (2),4,1,3,4,2,2,50,Married (1),2,NA,3,146,3,TRUE
2014,16,3,2,1,male (1),7,4,1,1,2,0,-1,Separated (4),1,89,1,147,3,FALSE
2014,23,3,2,1,female (2),4,1,3,4,2,2,-1,Married (1),2,NA,7,148,3,TRUE
2014,19,4,2,2,female (2),7,1,1,3,0,0,-1,Never married (5),2,36,1,149,2,TRUE
2014,26,3,0,3,male (1),7,1,1,4,3,0,-1,Divorced (3),2,40,1,150,2,FALSE
2014,19,3,2,1,female (2),7,1,0,3,2,0,-1,Divorced (3),2,24,2,151,3,TRUE
2014,98,3,2,1,female (2),7,0,0,3,0,0,-1,Never married (5),2,NA,5,152,3,TRUE
2014,15,3,2,1,male (1),1,1,1,1,5,2,-1,Married (1),2,60,1,153,3,FALSE
2014,98,3,2,2,male (1),7,3,3,1,1,0,-1,Never married (5),2,40,1,154,1,FALSE
2014,11,1,0,3,female (2),0,0,0,0,1,2,-1,Married (1),2,30,2,155,2,TRUE
2014,11,3,0,1,female (2),7,1,1,1,2,0,-1,Divorced (3),2,NA,5,156,2,TRUE
2014,22,3,2,1,male (1),1,0,0,2,1,2,25,Married (1),2,60,1,157,1,FALSE
2014,11,3,2,1,male (1),7,1,1,1,0,0,-1,Never married (5),2,NA,8,158,1,FALSE
2014,15,1,0,3,male (1),0,0,0,0,6,0,-1,Married (1),2,40,1,159,3,FALSE
2014,12,3,5,2,female (2),7,1,3,2,0,0,-1,Widowed (2),2,NA,5,160,2,TRUE
2014,19,1,2,3,male (1),1,0,0,0,2,2,40,Married (1),1,60,1,161,3,FALSE
2014,21,2,1,1,female (2),7,1,1,2,0,0,-1,Never married (5),2,40,1,162,2,TRUE
2014,21,8,0,1,female (2),-1,0,7,4,3,0,-1,Widowed (2),2,NA,5,163,3,TRUE
2014,17,2,1,1,male (1),7,1,7,1,0,0,-1,Never married (5),2,48,1,164,2,FALSE
2014,20,3,1,1,female (2),7,0,0,1,1,0,-1,Divorced (3),2,40,1,165,3,TRUE
2014,9,3,1,1,female (2),7,0,0,1,5,0,-1,Divorced (3),2,NA,5,166,3,TRUE
2014,25,4,1,1,female (2),-1,0,1,2,3,0,-1,Divorced (3),2,NA,8,167,1,TRUE
2014,16,1,4,1,male (1),7,1,1,4,4,0,-1,Divorced (3),2,NA,5,168,2,FALSE
2014,26,3,9,1,male (1),3,1,3,4,0,1,25,Married (1),2,NA,5,169,2,FALSE
2014,20,4,0,1,female (2),3,0,7,1,2,2,-1,Married (1),2,NA,5,170,2,TRUE
2014,10,8,9,2,female (2),-1,1,1,3,1,0,-1,Divorced (3),2,1,2,171,3,TRUE
2014,21,3,2,1,female (2),7,3,3,4,0,0,-1,Never married (5),2,40,1,172,3,TRUE
2014,20,3,9,1,male (1),1,1,1,2,0,2,60,Married (1),1,50,1,173,3,FALSE
2014,6,4,9,1,female (2),7,3,3,4,1,0,-1,Divorced (3),1,NA,7,174,1,TRUE
2014,9,4,2,1,female (2),7,0,1,1,3,0,-1,Divorced (3),2,NA,5,175,1,TRUE
2014,23,2,4,1,male (1),7,1,1,3,0,0,-1,Never married (5),2,25,2,176,1,FALSE
2014,20,4,4,1,male (1),-1,1,8,1,1,0,-1,Divorced (3),2,NA,5,177,3,FALSE
2014,15,2,9,2,female (2),7,1,0,1,0,0,-1,Never married (5),2,31,2,178,3,TRUE
2014,16,2,9,1,male (1),7,3,7,4,7,0,-1,Separated (4),1,20,2,179,3,FALSE
2014,15,4,9,1,female (2),7,3,3,4,0,0,-1,Divorced (3),2,40,1,180,1,TRUE
2014,19,2,9,3,male (1),7,1,7,1,0,0,-1,Never married (5),2,60,1,181,2,FALSE
2014,17,3,9,1,female (2),0,0,7,0,3,2,40,Married (1),0,NA,7,182,2,TRUE
2014,19,2,9,1,female (2),0,0,7,1,2,2,40,Married (1),0,NA,7,183,3,TRUE
2014,18,2,9,1,male (1),-1,1,7,1,1,0,-1,Never married (5),2,48,1,184,1,FALSE
2014,21,2,0,1,female (2),7,0,0,0,4,0,-1,Never married (5),2,NA,7,185,1,TRUE
2014,16,2,9,3,female (2),7,0,7,1,1,0,-1,Divorced (3),2,35,2,186,3,TRUE
2014,18,1,0,1,male (1),7,0,0,1,2,0,-1,Divorced (3),2,40,1,187,2,FALSE
2014,98,3,9,2,male (1),7,1,7,1,0,0,-1,Never married (5),2,35,2,188,2,FALSE
2014,20,5,9,2,male (1),7,0,3,3,4,0,-1,Divorced (3),2,40,1,189,1,FALSE
2014,18,3,9,2,male (1),-1,0,7,1,0,0,-1,Never married (5),2,40,1,190,3,FALSE
2014,20,4,2,2,male (1),7,3,3,3,0,0,-1,Never married (5),2,40,1,191,3,FALSE
2014,13,2,9,2,female (2),7,1,1,1,2,0,-1,Never married (5),2,NA,3,192,2,TRUE
2014,17,3,0,1,female (2),-1,0,1,1,2,0,-1,Never married (5),2,NA,7,193,3,TRUE
2014,6,2,0,1,female (2),0,0,7,0,1,1,25,Married (1),2,20,2,194,3,TRUE
2014,15,3,9,1,female (2),7,7,3,1,1,0,-1,Never married (5),2,40,1,195,2,TRUE
2014,9,1,8,1,female (2),0,0,0,1,4,2,-1,Married (1),2,NA,5,196,3,TRUE
2014,9,2,5,2,female (2),7,0,0,0,5,0,-1,Divorced (3),2,NA,5,197,2,TRUE
2014,14,3,9,1,male (1),-1,1,2,1,0,0,-1,Never married (5),2,20,2,198,3,FALSE
2014,98,3,9,3,female (2),7,1,0,1,0,0,-1,Never married (5),2,25,2,199,2,TRUE
2014,22,4,0,1,male (1),1,1,7,1,2,2,-1,Married (1),2,40,1,200,3,FALSE
2014,17,2,9,1,male (1),7,3,3,1,0,0,-1,Divorced (3),2,NA,4,201,3,FALSE
2014,15,3,9,2,male (1),7,2,7,1,0,0,-1,Never married (5),2,NA,4,202,3,FALSE
2014,9,3,0,1,female (2),1,0,0,1,2,2,30,Married (1),2,NA,7,203,2,TRUE
2014,8,2,9,2,female (2),7,1,8,0,2,0,-1,Never married (5),2,NA,7,204,1,TRUE
2014,21,2,9,3,male (1),3,1,3,3,2,2,30,Married (1),2,45,1,205,1,FALSE
2014,17,1,0,1,male (1),0,0,0,0,4,2,40,Married (1),2,40,1,206,2,FALSE
2014,17,3,9,3,female (2),7,0,0,1,3,0,-1,Separated (4),2,32,1,207,1,TRUE
2014,5,4,9,1,female (2),-1,1,1,0,3,0,-1,Never married (5),2,NA,4,208,3,TRUE
2014,16,3,0,1,male (1),1,0,7,0,2,0,-1,Married (1),2,50,1,209,2,FALSE
2014,14,1,0,1,female (2),1,0,0,0,3,1,30,Married (1),2,NA,7,210,2,TRUE
2014,14,1,9,1,female (2),0,0,0,0,3,2,35,Married (1),2,28,2,211,1,TRUE
2014,12,1,0,1,female (2),0,0,0,0,4,2,40,Married (1),0,NA,7,212,1,TRUE
2014,26,3,0,3,female (2),7,1,0,1,0,0,-1,Never married (5),9,NA,7,213,3,TRUE
2014,18,3,9,1,female (2),1,0,1,1,3,2,40,Married (1),1,3,2,214,2,TRUE
2014,17,4,0,1,female (2),0,0,0,0,4,2,40,Married (1),1,40,1,215,2,TRUE
2014,9,3,9,2,male (1),7,3,7,1,0,0,-1,Never married (5),0,NA,6,216,3,FALSE
2014,98,1,0,3,male (1),0,0,0,0,4,2,-1,Married (1),2,NA,8,217,3,FALSE
2014,25,1,9,3,male (1),3,1,7,1,2,2,-1,Married (1),1,65,1,218,3,FALSE
2014,15,1,0,1,female (2),0,0,0,0,2,2,-1,Married (1),2,NA,5,219,2,TRUE
2014,19,4,3,1,female (2),7,3,1,1,0,0,-1,Separated (4),2,40,1,220,1,TRUE
2014,26,3,9,1,male (1),1,1,1,0,2,2,-1,Married (1),1,16,2,221,3,FALSE
2014,13,3,0,3,female (2),1,3,7,1,0,2,-1,Married (1),2,32,2,222,2,TRUE
2014,19,3,9,1,male (1),3,2,3,1,0,2,-1,Married (1),2,37,1,223,1,FALSE
2014,14,3,9,1,female (2),7,1,1,1,2,0,-1,Divorced (3),2,NA,7,224,2,TRUE
2014,18,4,9,3,female (2),7,1,4,3,0,0,-1,Never married (5),2,40,1,225,2,TRUE
2014,25,2,2,1,male (1),3,0,0,1,0,1,-1,Married (1),1,45,1,226,2,FALSE
2014,25,5,2,1,male (1),4,1,8,4,2,1,40,Married (1),1,40,2,227,1,FALSE
2014,8,3,6,2,female (2),7,0,0,1,0,0,-1,Widowed (2),2,NA,5,228,3,TRUE
2014,9,3,9,1,male (1),7,8,0,1,1,0,-1,Widowed (2),2,14,2,229,3,FALSE
2014,3,1,9,1,male (1),7,8,7,0,2,0,-1,Divorced (3),2,NA,4,230,2,FALSE
2014,2,3,9,1,male (1),7,1,1,1,0,0,-1,Never married (5),2,NA,4,231,3,FALSE
2014,25,5,6,1,male (1),-1,3,3,4,0,0,-1,Divorced (3),1,8,2,232,2,FALSE
2014,21,4,9,1,male (1),3,3,3,2,1,2,40,Married (1),1,40,2,233,3,FALSE
2014,24,3,9,1,female (2),1,1,1,3,1,1,40,Married (1),2,40,1,234,3,TRUE
2014,2,2,9,1,female (2),7,3,3,3,2,0,-1,Divorced (3),1,NA,7,235,1,TRUE
2014,12,3,9,1,female (2),7,1,1,1,0,0,-1,Never married (5),2,NA,6,236,3,TRUE
2014,23,3,9,3,male (1),7,1,1,1,0,0,-1,Never married (5),0,NA,6,237,2,FALSE
2014,15,4,9,1,female (2),7,2,1,3,0,0,-1,Never married (5),2,40,1,238,1,TRUE
2014,26,3,9,1,female (2),0,0,0,0,6,2,-1,Married (1),0,NA,7,239,1,TRUE
2014,98,1,0,1,female (2),7,0,7,0,2,0,-1,Never married (5),2,47,1,240,1,TRUE
2014,19,3,9,1,male (1),7,0,0,1,0,0,-1,Never married (5),2,40,1,241,1,FALSE
2014,25,2,9,3,female (2),7,1,1,4,1,0,-1,Never married (5),2,60,1,242,2,TRUE
2014,24,3,9,1,female (2),4,1,1,4,2,2,1,Married (1),2,1,1,243,2,TRUE
2014,20,1,0,1,female (2),1,0,0,1,3,2,40,Married (1),2,44,1,244,2,TRUE
2014,19,2,0,3,male (1),0,0,0,0,3,0,-1,Married (1),1,40,1,245,3,FALSE
2014,98,3,0,1,female (2),0,0,0,0,8,2,-1,Married (1),2,NA,5,246,2,TRUE
2014,13,1,0,3,female (2),4,0,1,3,4,2,-1,Married (1),2,NA,5,247,3,TRUE
2014,12,4,8,1,male (1),7,1,1,1,4,0,-1,Widowed (2),2,NA,5,248,1,FALSE
2014,13,2,9,3,female (2),7,8,7,1,2,0,-1,Never married (5),2,NA,3,249,1,TRUE
2014,26,1,9,3,male (1),3,1,8,3,0,2,40,Married (1),2,40,1,250,1,FALSE
2014,22,4,0,3,female (2),4,1,4,3,2,1,50,Married (1),2,50,1,251,2,TRUE
2014,19,3,9,1,male (1),1,1,1,3,3,2,-1,Married (1),1,48,1,252,1,FALSE
2014,20,4,3,1,female (2),7,1,1,2,2,0,-1,Divorced (3),2,NA,5,253,1,TRUE
2014,9,2,9,2,female (2),7,0,7,1,0,0,-1,Never married (5),0,NA,6,254,2,TRUE
2014,25,3,9,1,female (2),-1,1,1,1,1,0,-1,Divorced (3),2,50,1,255,3,TRUE
2014,20,3,9,1,male (1),1,1,8,1,0,2,40,Married (1),2,40,1,256,2,FALSE
2014,20,3,9,1,female (2),1,1,1,1,2,2,50,Married (1),2,NA,3,257,2,TRUE
2014,1,3,9,1,female (2),7,3,4,4,1,0,-1,Divorced (3),2,NA,5,258,2,TRUE
2014,25,3,9,1,male (1),7,4,4,2,1,0,-1,Divorced (3),1,60,1,259,2,FALSE
2014,16,4,9,1,female (2),1,1,4,1,1,2,50,Married (1),2,NA,7,260,2,TRUE
2014,16,3,9,1,female (2),7,1,1,1,1,0,-1,Never married (5),2,NA,4,261,2,TRUE
2014,10,3,9,2,female (2),7,8,1,0,6,0,-1,Never married (5),2,NA,4,262,1,TRUE
2014,14,3,9,3,female (2),0,0,7,0,4,2,60,Married (1),2,40,1,263,3,TRUE
2014,98,2,5,1,female (2),7,0,1,0,1,0,-1,Divorced (3),2,NA,8,264,1,TRUE
2014,17,3,9,1,female (2),7,0,0,0,4,0,-1,Widowed (2),2,NA,5,265,1,TRUE
2014,11,4,9,1,female (2),7,3,3,1,0,0,-1,Divorced (3),2,NA,8,266,2,TRUE
2014,3,3,9,1,female (2),1,1,1,0,6,2,20,Married (1),0,NA,7,267,2,TRUE
2014,18,2,6,1,male (1),7,0,0,4,1,0,-1,Separated (4),2,NA,5,268,1,FALSE
2014,5,3,0,1,female (2),7,0,0,1,2,0,-1,Widowed (2),2,NA,7,269,2,TRUE
